timestamp,macModule,rssi,metre
2022-11-18 10:18:50.278,A8032A31204E,-70,30
2022-11-18 10:18:40.766,A8032A31204E,-66,30
2022-11-18 10:18:31.129,A8032A31204E,-65,30
2022-11-18 10:18:20.522,A8032A31204E,-51,30
2022-11-18 10:18:09.026,A8032A31204E,-49,30
2022-11-18 10:18:01.265,A8032A31204E,-55,30
2022-11-18 10:17:49.780,A8032A31204E,-55,30
2022-11-18 10:17:40.224,A8032A31204E,-61,30
2022-11-18 10:17:35.755,C45BBE37B346,-80,30
2022-11-18 10:17:30.608,A8032A31204E,-54,30
2022-11-18 10:17:21.025,A8032A31204E,-56,30
2022-11-18 10:17:05.724,A8032A31204E,-72,30
2022-11-18 10:16:54.259,A8032A31204E,-80,30
2022-11-18 10:16:50.426,A8032A31204E,-71,30
2022-11-18 10:16:37.019,A8032A31204E,-71,30
2022-11-18 10:16:31.159,A8032A31204E,-72,30
2022-11-18 10:16:21.600,A8032A31204E,-54,30
2022-11-18 10:16:12.031,A8032A31204E,-68,30
2022-11-18 10:16:00.461,A8032A31204E,-61,30
2022-09-23 14:37:53.618,C45BBE39F42A,-66,31
2022-09-23 14:37:52.770,A8032A31204E,-70,31
2022-09-23 14:37:41.961,C45BBE39F42A,-67,31
2022-09-23 14:37:35.268,A8032A31204E,-72,31
2022-09-23 14:37:32.246,C45BBE39F42A,-67,31
2022-09-23 14:37:31.326,A8032A31204E,-70,31
2022-09-23 14:37:23.562,A8032A31204E,-67,31
2022-09-23 14:37:22.517,C45BBE39F42A,-62,31
2022-09-23 14:37:13.871,A8032A31204E,-67,31
2022-09-23 14:37:12.803,C45BBE39F42A,-68,31
2022-09-23 14:37:03.080,C45BBE39F42A,-68,31
2022-09-23 14:37:00.228,A8032A31204E,-69,31
2022-09-23 14:36:53.363,C45BBE39F42A,-71,31
2022-09-23 14:36:52.494,A8032A31204E,-65,31
2022-09-23 14:36:43.620,C45BBE39F42A,-63,31
2022-09-23 14:36:42.746,A8032A31204E,-70,31
2022-09-23 14:36:39.988,C45BBE39F9AE,-80,31
2022-09-23 14:36:32.991,A8032A31204E,-49,31
2022-09-23 14:36:31.957,C45BBE39F42A,-77,31
2022-09-23 14:36:22.024,C45BBE39F42A,-60,31
2022-09-23 14:36:21.169,A8032A31204E,-50,31
2022-09-23 14:36:18.404,C45BBE39F9AE,-78,31
2022-09-23 14:36:13.310,A8032A31204E,-56,31
2022-09-23 14:36:12.247,C45BBE39F42A,-67,31
2022-09-23 14:36:06.729,C45BBE39F9AE,-73,31
2022-09-23 14:36:03.612,A8032A31204E,-52,31
2022-09-23 14:36:02.593,C45BBE39F42A,-78,31
2022-09-23 14:36:00.987,C45BBE39F9AE,-80,31
2022-09-23 14:35:53.107,C45BBE39F9AE,-79,31
2022-09-23 14:35:52.823,C45BBE39F42A,-73,31
2022-09-23 14:35:51.947,A8032A31204E,-60,31
2022-09-23 14:35:43.052,C45BBE39F42A,-75,31
2022-09-23 14:35:42.234,A8032A31204E,-64,31
2022-09-23 14:35:39.512,C45BBE39F9AE,-72,31
2022-09-23 14:35:33.255,C45BBE39F42A,-57,31
2022-09-23 14:35:32.503,A8032A31204E,-68,31
2022-09-23 14:35:22.748,A8032A31204E,-61,31
2022-09-23 14:35:21.582,C45BBE39F42A,-70,31
2022-09-23 14:35:14.506,C45BBE37B346,-79,31
2022-09-23 14:35:13.815,C45BBE39F42A,-59,31
2022-09-23 14:35:13.018,A8032A31204E,-68,31
2022-09-23 14:35:05.948,C45BBE386952,-80,31
2022-09-23 14:35:04.797,C45BBE37B346,-80,31
2022-09-23 14:35:03.277,A8032A31204E,-79,31
2022-09-23 14:35:02.169,C45BBE39F42A,-68,31
2022-09-23 14:34:57.036,C45BBE37B346,-78,31
2022-09-23 14:34:53.539,A8032A31204E,-65,31
2022-09-23 14:34:52.476,C45BBE39F42A,-70,31
2022-09-23 14:34:43.756,A8032A31204E,-63,31
2022-09-23 14:34:42.693,C45BBE39F42A,-64,31
2022-09-23 14:34:32.958,C45BBE39F42A,-80,31
2022-09-23 14:34:32.071,A8032A31204E,-69,31
2022-09-23 14:34:25.857,C45BBE37B346,-80,31
2022-09-23 14:34:23.198,C45BBE39F42A,-64,31
2022-09-23 14:34:22.323,A8032A31204E,-79,31
2022-09-23 14:34:20.040,C45BBE37B346,-80,31
2022-09-23 14:34:13.496,C45BBE39F42A,-69,31
2022-09-23 14:34:10.560,A8032A31204E,-69,31
2022-09-23 14:34:10.344,C45BBE37B346,-73,31
2022-09-23 14:34:03.757,C45BBE39F42A,-61,31
2022-09-23 14:34:02.778,A8032A31204E,-58,31
2022-09-23 14:33:52.097,C45BBE39F42A,-60,31
2022-09-23 14:33:51.086,A8032A31204E,-52,31
