,10.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0
0,-80.0,-80.0,-80.0,-76.0,-76.0,-73.0,-76.0,-80.0,-78.0,-76.0,-73.0,-70.0,-77.0,-73.0,-79.0,-77.0,-69.0,-72.0,-55.0,-64.0,-69.0,-65.0,-73.0,-76.0,-75.0,-78.0,-68.0,-79.0,-79.0,-72.0,-75.0,-78.0,-79.0,-76.0
1,,,-74.0,-79.0,-70.0,-68.0,-78.0,-78.0,-68.0,-76.0,-80.0,-70.0,-80.0,-76.0,-76.0,-74.0,-68.0,-70.0,-54.0,-62.0,-64.0,-66.0,-67.0,-75.0,-79.0,-79.0,-70.0,-73.0,-76.0,-80.0,-78.0,-76.0,-80.0,-65.0
2,,,-80.0,,-79.0,-77.0,-75.0,,-74.0,-62.0,-71.0,-79.0,-74.0,-70.0,-78.0,-66.0,-64.0,-79.0,-51.0,-66.0,-63.0,-67.0,-79.0,-75.0,-68.0,-70.0,-71.0,-80.0,-65.0,-79.0,-80.0,,-80.0,-70.0
3,,,,,-80.0,-79.0,,,-76.0,-65.0,-80.0,-76.0,-80.0,-76.0,-68.0,-79.0,-61.0,-74.0,-61.0,-60.0,-57.0,-64.0,-80.0,-79.0,-75.0,-75.0,-70.0,-76.0,-62.0,-70.0,-78.0,,-79.0,
4,,,,,-67.0,-80.0,,,-73.0,-71.0,-64.0,-63.0,-76.0,-73.0,-72.0,-77.0,-61.0,-67.0,-36.0,-57.0,-67.0,-68.0,-74.0,-75.0,-68.0,-73.0,-73.0,-77.0,-79.0,-64.0,,,,
5,,,,,-79.0,,,,-72.0,-65.0,,,-69.0,-75.0,,-70.0,-69.0,-67.0,-68.0,-53.0,-68.0,-77.0,-63.0,-70.0,-67.0,-66.0,-72.0,,,-80.0,,,,
6,,,,,,,,,,,,,,-76.0,,,,,,-59.0,-67.0,,,-75.0,,,,,,,,,,
