60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
NaN,NaN,NaN,NaN,NaN,NaN,NaN,-79,NaN,NaN,NaN,-80,NaN,-80,-77,-75,-74,-79,-70,-61,-66,-74,-79,-79,-66,-78,-80,-77,-78,-80,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,-79,NaN,NaN,NaN,-78,NaN,NaN,-79,-80,-80,-77,-64,-61,-80,-72,-72,-70,-65,-79,-77,-80,-77,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,-77,-80,NaN,NaN,-80,-79,-77,-78,NaN,-78,-69,-66,-69,-66,-80,-78,-74,-68,-74,-73,-73,-79,-79,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,-80,-80,NaN,NaN,-78,NaN,-78,-75,NaN,-79,-66,-71,-67,-66,-72,-77,-76,-79,-79,-77,-80,-80,-80,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,-80,NaN,NaN,NaN,-79,NaN,-80,-78,NaN,-80,-72,-68,-66,-72,-74,-79,-76,-75,-79,-80,-78,-80,-80,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,-79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-79,-73,-68,-67,-69,-77,-73,-76,-73,-76,-80,-79,NaN,NaN,NaN
