,19.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
0,-80.0,-70.0,-65.0,-58.0,-61.0,-68.0,-65.0,-59.0,-73.0,-66.0,-66.0,-71.0,-78.0,-76.0,-74.0,-76.0,-80.0,-79.0,-77.0
1,,-78.0,-80.0,-58.0,-67.0,-70.0,-58.0,-53.0,-67.0,-76.0,-64.0,-74.0,-73.0,-78.0,-74.0,-75.0,-76.0,-79.0,-79.0
2,,-66.0,-57.0,-63.0,-54.0,-61.0,-56.0,-58.0,-71.0,-65.0,-75.0,-62.0,-69.0,-76.0,-73.0,-74.0,-59.0,-75.0,
3,,-66.0,-59.0,-60.0,-57.0,-63.0,-71.0,-57.0,-73.0,-61.0,-70.0,-62.0,-69.0,-80.0,-79.0,-67.0,-80.0,-79.0,
4,,-62.0,-65.0,-61.0,-50.0,-62.0,-64.0,-62.0,-71.0,-67.0,-67.0,-63.0,-68.0,-68.0,-73.0,-71.0,-76.0,,
5,,-75.0,-65.0,,-55.0,-60.0,,-60.0,-68.0,-70.0,-70.0,,-72.0,-73.0,-65.0,-75.0,-78.0,,
6,,,,,,,,-58.0,-72.0,-65.0,,,-66.0,,,,-79.0,,
