31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
,,,,,,,,,,-66.0,-75.0,,,-66.0,,-73.0,-69.0,,-78.0,,,,,,-74.0,,,,
,,,,,,,,,,-67.0,-68.0,,,-76.0,,-65.0,-70.0,,-79.0,-77.0,,,,,-70.0,,,,
,,,,,,,,,,-74.0,-68.0,,,-77.0,,-72.0,-71.0,,-73.0,-71.0,,,,,-73.0,,,,
,,,,,,,,,,-75.0,-77.0,,,-74.0,,-72.0,-72.0,,-69.0,-70.0,,,,,-73.0,,,,
,,,,,,,,,,-67.0,-77.0,,,-67.0,,-72.0,-71.0,,-79.0,-73.0,,,,,-73.0,,,,
,,,,,,,,,,-67.0,-68.0,,,-65.0,,-72.0,-70.0,,-78.0,-70.0,,,,,-70.0,,,,
,,,,,,,,,,-68.0,-75.0,,,-76.0,,-71.0,-70.0,,-80.0,-64.0,,,,,-70.0,,,,
,,,,,,,,,,-75.0,-75.0,,,-75.0,,-69.0,-71.0,,-73.0,-70.0,,,,,-65.0,,,,
,,,,,,,,,,-66.0,-68.0,,,-76.0,,-74.0,-71.0,,-75.0,-66.0,,,,,-74.0,,,,
,,,,,,,,,,-74.0,-75.0,,,-75.0,,-73.0,-68.0,,-65.0,-75.0,,,,,-74.0,,,,
,,,,,,,,,,-72.0,-77.0,,,-74.0,,-77.0,-66.0,,-75.0,-75.0,,,,,-73.0,,,,
,,,,,,,,,,-72.0,-75.0,,,-66.0,,-76.0,-70.0,,-77.0,-75.0,,,,,,,,,
,,,,,,,,,,-72.0,-72.0,,,-68.0,,-76.0,-68.0,,-60.0,-75.0,,,,,,,,,
,,,,,,,,,,-74.0,-73.0,,,-76.0,,-68.0,-69.0,,-74.0,-71.0,,,,,,,,,
,,,,,,,,,,-73.0,-73.0,,,-68.0,,-73.0,-70.0,,-69.0,-65.0,,,,,,,,,
,,,,,,,,,,-67.0,-67.0,,,-66.0,,-65.0,-71.0,,-75.0,-68.0,,,,,,,,,
,,,,,,,,,,-70.0,-74.0,,,-68.0,,-74.0,-72.0,,-76.0,-77.0,,,,,,,,,
,,,,,,,,,,,,,,-76.0,,,,,-70.0,-69.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,-56.0,,,,,,,,,
,,,,,,,,,,,,,,,-79.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-72.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-78.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-80.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-80.0,,,,,,,,,,,,,,
-80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-65.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-80.0,
